asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
RENDER,FAIL,binance,1H,2024-07-26,2026-01-21,13055,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,3.75,6.0,5.0,8,24,11,25,2.8099841592650137,13.672375448193641,237,0.4936646938814245,0.8354429030205779,102,-0.9844985376138062,-1.7825595207621725,99,-6.419438797933596,0.8376844889500877,-0.3503573265236179,0.526,
BNB,FAIL,binance,1H,,,0,42,ERROR: No data found for BNB in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for BNB in data
XRP,FAIL,binance,1H,,,0,42,ERROR: No data found for XRP in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for XRP in data
ADA,FAIL,binance,1H,,,0,42,ERROR: No data found for ADA in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for ADA in data
SOL,FAIL,binance,1H,,,0,42,ERROR: No data found for SOL in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for SOL in data
DOGE,FAIL,binance,1H,,,0,42,ERROR: No data found for DOGE in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for DOGE in data
LTC,FAIL,binance,1H,,,0,42,ERROR: No data found for LTC in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for LTC in data
a
DOT,FAIL,binance,1H,,,0,42,ERROR: No data found for DOT in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for DOT in data
ATOM,FAIL,binance,1H,,,0,42,ERROR: No data found for ATOM in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for ATOM in data
NEAR,FAIL,binance,1H,,,0,42,ERROR: No data found for NEAR in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for NEAR in data
XLM,FAIL,binance,1H,,,0,42,ERROR: No data found for XLM in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for XLM in data
FIL,FAIL,binance,1H,,,0,42,ERROR: No data found for FIL in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for FIL in data
ARB,FAIL,binance,1H,,,0,42,ERROR: No data found for ARB in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for ARB in data
MATIC,FAIL,binance,1H,,,0,42,ERROR: No data found for MATIC in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for MATIC in data
LINK,FAIL,binance,1H,,,0,42,ERROR: No data found for LINK in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for LINK in data
MATIC,FAIL,binance,1H,2024-01-22,2024-09-10,5558,42,TRADES<50,4.75,1.5,3.0,9.0,14,34,8,30,6.757622656492118,3.129367160639318,87,-1.1094955202462942,-0.3715664403696417,39,6.955773010431755,0.7284324397772268,15,-0.01107925384021824,31.255353381309746,1.0293224946126982,0.0,
XRP,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.75,4.0,5.5,9.5,9,24,9,30,3.063324260220407,13.252529304313532,252,1.0739776990798797,1.6860342146876262,96,-0.931964503010704,-1.4788744257810293,90,-2.800822302611594,0.8238430728725712,-0.30423305658919986,0.482,
DOT,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.25,3.75,8.5,9.0,11,40,16,28,2.862090879551203,14.41814493592377,261,2.874428504551078,4.6027112676461535,90,3.540083245334296,6.5149891913300895,93,-1.5104892844213125,2.2273708590821655,1.2368870851121987,0.006,
BNB,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,3.75,5.5,8.0,20,31,10,26,2.018900802870328,6.803154813814882,225,-2.4373743617590766,-3.1217162738108706,69,-1.7003828728853791,-2.505974445326231,90,-3.3872957971197937,0.6801278244345668,-0.8422320058855279,0.928,
DOGE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,3.0,3.5,7.5,9.5,18,25,9,25,2.319240876184654,12.073758883097717,276,0.5916623038987959,0.9319142497077104,93,1.0050126608196153,1.6342890694329704,90,-2.569215316465534,1.2203944519709446,0.43333690395839586,0.076,
SOL,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,4.5,1.5,3.0,8.5,7,27,8,26,2.315240417636257,6.00190341406559,312,0.7990037274656044,0.8382162746080057,126,1.287986920784217,1.131098425417254,96,-0.8743836900105384,1.3590036047775185,0.5563080667446132,0.072,
LINK,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,4.75,1.75,4.5,7.5,6,35,8,29,4.635711536082869,11.638544979823173,291,-2.063665076177461,-2.554056670234295,120,1.3704461586559502,1.263474861327385,105,-0.9595782189455337,1.3928920394071,0.2956280061839145,0.046,
ADA,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,2.75,7.0,10.0,8,30,9,29,2.905109459597516,15.919819613258191,324,-1.760486175888392,-3.5593799296172457,118,-0.0130666485328014,-0.0565887370377105,90,-4.000924292423258,0.9929059916696675,-0.004497816249103295,0.08,
SHIB,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.75,4.75,6.5,9.0,16,25,14,18,2.5502120734796287,19.669846135378897,303,-0.9257696071252023,-2.67377627391725,132,4.710563001546132,12.867554979311603,93,-1.5898112992045577,2.5602366980218707,1.8471259902392427,0.0,
LTC,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,4.5,5.0,8.0,9.5,7,23,8,28,3.112873112383227,12.452465706193028,189,-0.052324895043968,-0.0929869649545112,66,-0.8210730482749679,-0.9956180178043672,48,-3.3984191119728613,0.7860268543361808,-0.2637669505411839,0.4,
ATOM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,3.25,6.5,8.5,9,27,12,19,2.382056220304612,8.8123941152616,255,0.1651916018107168,0.18603172791109568,72,-1.2690976252792578,-1.8462761059492738,96,-3.4609510991630343,0.7643020628716186,-0.5327740019154412,0.406,
XLM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.5,1.75,6.0,8.5,7,31,16,24,2.008935914468922,7.207282574139162,315,-0.31831920849906603,-0.44154804474110243,105,-0.7653205852404823,-0.9143359088460978,93,-2.7882506683526986,0.8285249743602424,-0.38095818772934864,0.314,
NEAR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,4.5,2.75,5.5,6.5,8,38,8,27,1.6119006760718182,5.582133917770493,267,1.8238830591652553,2.259101587241674,108,3.250942006469778,3.6121360697459526,99,-1.0001007038929366,1.9842365948605818,2.0168376716562233,0.01,
ARB,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,4.75,5.5,9.5,5,38,10,15,2.621453177279749,17.58472305467422,318,3.8969986107386396,9.0481703735642,117,-0.6427476678980147,-1.607685753625887,117,-3.950354520554822,0.8821622692932131,-0.24518754462934425,0.172,
FIL,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,2.0,5.0,8.5,8,34,9,26,3.2149466118160523,9.430712942659447,288,1.9102627264162675,2.137243334327388,126,0.45638120337146537,0.41128392657558965,59,-2.4267926387168792,1.1307692846111057,0.14195607531835985,0.296,
RENDER,FAIL,binance,1H,2024-07-26,2026-01-21,13061,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,3.75,6.5,8.0,9,23,8,25,2.7364667075213185,13.466765879398078,237,-0.5298401532425289,-0.9752796425318566,105,-0.8976809749110258,-1.6394566735025373,99,-6.257812834197052,0.8509082521480863,-0.32804381374116626,0.508,
TAO,FAIL,binance,1H,2024-04-11,2026-01-21,15601,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,4.5,6.5,7.0,9,37,14,20,3.7068248096218532,27.475721579469848,267,-1.3977257041984987,-3.1167966889201093,96,-1.4588666972600253,-3.244959658828994,96,-6.8461911846527945,0.7536070890751952,-0.3935623538164593,0.704,
APT,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,2.25,2.25,7.5,10.0,20,33,16,17,0.4647906733202029,2.5632852880918433,336,2.408793393080467,4.389361091422139,115,3.7692560414614644,6.8707645797661865,90,-1.5437085908810544,2.165344661351743,8.109577618104987,0.0,
SUI,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,2.5,4.0,9.0,9.5,7,35,10,27,1.8364291892506093,11.694702557508219,276,0.43607044935160283,0.825403841080008,103,1.3863687023675941,2.627400137944691,72,-2.1359252934123663,1.3824281629760422,0.7549263050721432,0.024,
FET,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.25,2.75,7.5,9.0,8,20,8,27,2.8728987926522573,12.370740696022686,246,1.1410469685809295,1.6847659634732448,102,-0.6053306341838401,-0.9798328801838396,87,-2.49832771127545,0.8738137948805891,-0.2107037796569922,0.35,
INJ,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,3.5,5.0,9.5,7,25,8,23,2.9257073963846754,14.651590501564083,270,1.9973999643005345,3.816272116346231,132,0.045419364562762694,0.040611060659911935,120,-4.021564877768413,1.0038788151519487,0.015524233427747367,0.114,
PEPE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,1.5,3.5,6.0,10,34,15,30,2.8329569941424224,10.820183172199037,381,1.5103480645390217,1.8833209645563231,117,0.09579077799028878,0.10525793047957421,111,-2.134390084618587,1.0166155817408282,0.03381300111097735,0.182,
OP,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,5.0,2.25,4.0,8.0,11,30,11,15,3.734568086811514,8.912983473843038,258,3.0483539154278922,2.62262616285851,81,1.072026698813463,1.1038776717744003,87,-1.9069036508828074,1.267386771782184,0.2870550687238197,0.058,
MKR,FAIL,binance,1H,2024-01-22,2025-09-15,14438,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,4.5,4.75,7.5,8.0,9,37,9,26,2.7907343573435024,10.48743485472421,192,-0.86235630748622,-1.196502845312808,70,0.7388718817294105,0.7503020844088937,42,-1.0182580461889912,1.2095222403119705,0.264758944105573,0.522,
WIF,FAIL,binance,1H,2024-03-05,2026-01-21,16487,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,3.75,8.0,10.0,14,23,13,23,4.630652467840654,25.50674142364904,222,-0.7301028686394717,-1.4035668784417088,99,0.5370868489030834,0.9940534903981391,92,-3.2300073538415908,1.1057351480804265,0.1159851344131501,0.132,
AAVE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,4.0,5.0,6.5,18,35,10,19,4.7331648610855925,15.968023758304838,216,-0.6476862304356746,-0.9273724813774642,93,-2.033188063240354,-2.9593771497593346,84,-3.401129206311815,0.639475207943808,-0.42956206320986345,0.584,
BONK,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.0,6.0,9.5,17,22,11,21,4.278338030628532,19.220414411377384,274,3.2705425546935953,5.101811813693513,96,0.2256036721475411,0.32776180067550786,108,-3.2770152022434607,1.0409580384142212,0.052731614597175146,0.104,
CRV,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.0,5.0,5.5,10.0,12,37,9,29,0.8434486815244501,6.55681816713769,354,-3.9092292431287046,-9.083427448186121,117,-0.15659860224723476,-0.4965637557398095,111,-4.243844071437675,0.9638469444998254,-0.18566464762764023,0.252,
SAND,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,1.75,3.0,5.0,8.0,11,33,14,21,2.357638285811206,15.796999829012126,345,-1.7728078291981266,-4.131281190937752,135,1.2250792717654257,2.9167053035752177,120,-3.3838885645154138,1.2250240958399239,0.5196213851540444,0.074,
SNX,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,3.0,4.5,10.0,5,37,13,17,3.2314296593639273,23.116379073357972,384,0.0729317746468382,0.10293131602225891,135,-2.1332086696829355,-5.279167008729635,147,-7.001712963420781,0.7057196030537699,-0.660143928400668,0.91,
EOS,FAIL,binance,1H,2024-01-22,2025-05-26,11750,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.5,1.5,3.0,5.0,10,26,13,15,2.534939128578311,4.225505732135382,207,0.6157228787694091,0.3880594554580563,60,-2.189048652469184,-1.8328663458922478,78,-2.915783292216434,0.6057792357601609,-0.8635507763442369,0.954,
ALGO,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.5,5.0,6.0,6.5,6,29,9,21,3.677842913513768,14.926025943450071,213,-0.9009025765326939,-1.3904689183645846,78,-0.9485849393904019,-1.3971440913285171,69,-3.876663375484546,0.7911560659410221,-0.25791882951415535,0.27,
VET,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.0,5.0,6.0,7.0,10,39,14,24,1.9597452998350995,7.631623417752098,174,1.1482267726910287,1.7594903169823706,78,-1.0010759627168775,-1.4789044138848628,66,-4.344570411471016,0.7799066719341975,-0.5108194227082019,0.248,
XTZ,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.5,2.0,3.5,4.0,11,37,11,15,1.3987659740011023,4.108544243591905,276,0.5337452738142004,0.5109767138658405,78,-1.575656852879557,-1.9360533324172091,96,-2.5755040358166226,0.6892746915141688,-1.12646209742468,0.776,
ICP,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.75,3.0,9.5,10.0,10,30,11,26,1.1858149095097352,9.790567182575604,321,-0.22744778540973784,-0.57334192191969,123,1.453932239914598,4.260236103052306,111,-2.59700399412941,1.3416547292895795,1.2261038617870925,0.174,
FLOW,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.0,3.5,6.5,16,40,16,30,2.6320744431045973,12.389131326399028,354,1.191873375696997,2.154933811631765,141,-0.6721581871447276,-1.1692305194976882,108,-3.099919083173086,0.8709070450202573,-0.25537202752970023,0.074,
HBAR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.5,2.5,6.0,8.0,9,31,11,19,2.2123286939742797,16.684238628555526,354,-1.8606083285628143,-4.636596377776536,126,2.510368357750194,6.292668111377675,123,-2.369865365764623,1.5388305176312032,1.1347176233747205,0.0,
MINA,FAIL,binance,1H,2024-01-22,2026-01-21,17521,42,WFE<0.6; OVERFIT,4.0,3.0,6.5,7.5,9,31,11,19,1.7961095801802778,6.93755739099855,240,2.5485808050635317,3.2381834491334027,96,1.0228019742639902,1.2976212452831204,75,-2.538330569761049,1.2516568936931194,0.569454105445688,0.118,
EGLD,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,4.5,2.25,5.0,8.5,5,32,8,22,2.7039583999896357,8.203174794312606,291,-0.16976319500321638,-0.2183521667572519,123,2.2239657409860984,2.467016380995357,93,-1.5339392815426955,1.5906735330707271,0.822485190968405,0.006,
KSM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,5.0,2.0,3.5,5.0,7,24,14,23,3.1963800092885335,7.839606624639761,258,-0.6879425156199901,-0.8067745150921124,108,1.1707145802548682,1.2268255669867667,99,-2.3416082120709114,1.2952230690124888,0.3662626398778698,0.048,
GALA,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,4.5,5.0,7.0,15,27,11,17,1.6481043801743507,13.604607614623742,336,1.0236330759491774,2.910990476691211,129,0.16601593942870485,0.37712576256907493,120,-5.142674186498441,1.0252400437831677,0.10073144724677102,0.13,
ENJ,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.25,7.5,9.0,17,39,8,30,3.485886696278359,18.80271478628397,324,-2.5504098108236577,-4.9319385302099565,129,-2.189864213550529,-4.4012684432969245,135,-5.764843718038826,0.6602586381490455,-0.6282086609092877,0.672,
AXS,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,3.5,2.0,4.5,6.0,18,21,9,16,4.047645263808034,13.834683023606843,312,1.5092353162409304,2.1045428983382353,138,1.2472113319159228,1.4790301580396292,111,-1.4206814740280738,1.2808041269505828,0.3081325685992906,0.384,
MAGIC,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.5,2.25,3.0,4.5,13,22,9,20,3.4965144759733726,12.848142146181996,336,0.6972473960884259,0.8157581938554204,87,-0.6303953989752131,-0.8918004014735748,93,-2.0276304740006523,0.8674232703431024,-0.18029251796525778,0.432,
BLUR,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,3.0,6.5,9.0,6,40,8,15,3.348416158749715,18.61995578105504,300,0.19697249818995322,0.33627819221848654,120,-2.323465943111743,-4.455600819049998,121,-5.843621762774676,0.6188268321017784,-0.6938999912063845,0.69,
LOOM,FAIL,binance,1H,2024-01-22,2024-08-26,5197,42,WFE<0.6; TRADES<50; OVERFIT,2.25,3.5,5.0,9.5,18,24,9,17,5.40209691010928,8.55862817918187,72,-5.43547535065195,-2.2877445246078265,18,1.924166824589485,1.112007943719373,24,-1.5217572190260098,1.531315185896929,0.3561888756546873,0.196,
IMX,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,5.0,2.0,3.0,6.5,5,23,8,28,2.059033372576555,5.597374362588492,312,-2.9202648196980854,-3.9476033257969223,117,1.2669624172328302,1.2108933419594514,96,-1.2841531211342572,1.337196783489803,0.6153190298452652,0.07,
VELO,FAIL,binance,1H,,,0,42,ERROR: No data found for VELO in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for VELO in data
YGG,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.5,4.75,7.5,8.5,11,39,9,25,3.907542890214989,36.83932881074461,273,0.05854767585371606,0.06017071102752958,129,3.242191777518213,11.400045330585474,102,-1.9415099580552098,2.0634031879084205,0.829726472263963,0.002,
